"","Model","MSPE"
"97","LF:CO2em",7.5808457527015
"98","LF:CO2em",13.4475852967971
"99","LF:CO2em",18.2159404309827
"100","LF:CO2em",12.2306699225866
"101","LF:CO2em",6.36223207205146
"102","LF:CO2em",18.6497784584164
"103","LF:CO2em",7.88468986769981
"104","LF:CO2em",22.6572693076525
"105","LF:CO2em",33.2687383880831
"106","LF:CO2em",18.3833688343154
"107","LF:CO2em",15.1087672546021
"108","LF:CO2em",7.8628124884169
"109","LF:CO2em",19.7945084519714
"110","LF:CO2em",9.21458234147616
"111","LF:CO2em",7.452130706295
"112","LF:CO2em",34.1828252323734
"113","LF:CO2em",16.6589122122652
"114","LF:CO2em",29.1957796779689
"115","LF:CO2em",7.23149817202997
"116","LF:CO2em",8.15629930395602
"117","LF:CO2em",8.6452515662336
"118","LF:CO2em",7.37698748817228
"119","LF:CO2em",8.95043454844362
"120","LF:CO2em",16.808175775723
"121","LF:Infmt",11.2125715035026
"122","LF:Infmt",7.33134929227948
"123","LF:Infmt",12.0643247858604
"124","LF:Infmt",16.0652527207834
"125","LF:Infmt",4.40993177695092
"126","LF:Infmt",3.94487307225458
"127","LF:Infmt",9.01945000296404
"128","LF:Infmt",11.6035467140843
"129","LF:Infmt",7.2304043677862
"130","LF:Infmt",7.53955205981992
"131","LF:Infmt",7.64244191339102
"132","LF:Infmt",21.0252492868668
"133","LF:Infmt",7.22821469708326
"134","LF:Infmt",19.6694646821572
"135","LF:Infmt",14.8338967057375
"136","LF:Infmt",5.42649649361633
"137","LF:Infmt",5.47928584651737
"138","LF:Infmt",6.18211864299666
"139","LF:Infmt",5.64456091772291
"140","LF:Infmt",6.67442892951354
"141","LF:Infmt",3.57482269425787
"142","LF:Infmt",32.0843298993362
"143","LF:Infmt",14.9056327395965
"144","LF:Infmt",13.3009106465486
"145","LF:Infmt",3.69272762033411
"146","LF:Infmt",4.52765697980815
"147","LF:Infmt",6.233947173974
"148","LF:Infmt",8.83602909829719
"149","LF:Infmt",10.2324291413708
"150","LF:Infmt",16.0033035020575
"151","LF:HDI",7.60756647211713
"152","LF:HDI",4.02684856400551
"153","LF:HDI",5.39384152040754
"154","LF:HDI",9.0581641246544
"155","LF:HDI",2.8674627312483
"156","LF:HDI",5.38173389250842
"157","LF:HDI",5.46894844968827
"158","LF:HDI",4.05671446417432
"159","LF:HDI",5.64247426947888
"160","LF:HDI",5.27378436040389
"161","LF:HDI",5.94990300755834
"162","LF:HDI",7.55373541598647
"163","LF:HDI",1.38860184906839
"164","LF:HDI",12.0209752344524
"165","LF:HDI",8.95533926513335
"166","LF:HDI",5.66271512639793
"167","LF:HDI",4.38070439872252
"168","LF:HDI",5.48773051287499
"169","LF:HDI",19.7836984729931
"170","LF:HDI",4.43823350970081
"171","LF:HDI",3.75774538631978
"172","LF:HDI",86.5585979802443
"173","LF:HDI",9.06667012437705
"174","LF:HDI",7.8789713188182
"175","LF:HDI",5.3316358174545
"176","LF:HDI",5.01075142988703
"177","LF:HDI",3.64622391501393
"178","LF:HDI",4.79240799183368
"179","LF:HDI",3.44906763787697
"180","LF:HDI",8.87797894112224
"181","FSI",10.3448986501987
"182","FSI",3.94448518145958
"183","FSI",7.86113897651091
"184","FSI",3.63012089797748
"185","FSI",22.0130323602666
"186","FSI",1.77817071933331
"187","FSI",4.37622850729428
"188","FSI",2.84063381706081
"189","FSI",3.11064648724154
"190","FSI",19.5648702633221
"191","FSI",4.76081070719805
"192","FSI",6.01734090345364
"193","FSI",1.33133465380305
"194","FSI",6.48785683739998
"195","FSI",4.14546492021325
"196","FSI",4.47680092726858
"197","FSI",20.343186694364
"198","FSI",6.19818152710021
"199","FSI",5.73787976957616
"200","FSI",6.39647258958236
"201","FSI",4.08003767073818
"202","FSI",6.8327575549965
"203","FSI",3.82944133663968
"204","FSI",12.0143464057882
"205","FSI",1.6088370885458
"206","FSI",3.21913110705956
"207","FSI",2.3048489589331
"208","FSI",5.12744612804381
"209","FSI",4.71332176069412
"210","FSI",3.59402898181799
